version,num_steps,nbcore,num_thread,runtime,pi
Sequentiel,10000,1,128,1.1e-05,3.14159
Basic_Atomic,10000,1,1,0.005239,3.14159
Partial_Sum,10000,1,128,0.000194,3.13839
Partial_Reduction,10000,1,128,0.000165,3.13839
Reduction,10000,1,128,0.000405,3.13839
Sequentiel,10000,1,128,1e-05,3.14159
Basic_Atomic,10000,1,1,0.005332,3.14159
Partial_Sum,10000,1,128,0.000106,3.13839
Partial_Reduction,10000,1,128,0.000136,3.13839
Reduction,10000,1,128,0.000148,3.13839
Sequentiel,10000,1,128,1.1e-05,3.14159
Basic_Atomic,10000,1,1,0.005214,3.14159
Partial_Sum,10000,1,128,0.000162,3.13839
Partial_Reduction,10000,1,128,0.000126,3.13839
Reduction,10000,1,128,0.00021,3.13839
Sequentiel,10000,1,128,1e-05,3.14159
Basic_Atomic,10000,1,1,0.00523,3.14159
Partial_Sum,10000,1,128,0.000106,3.13839
Partial_Reduction,10000,1,128,9.5e-05,3.13839
Reduction,10000,1,128,0.00027,3.13839
Sequentiel,10000,1,128,1.4e-05,3.14159
Basic_Atomic,10000,1,1,0.005338,3.14159
Partial_Sum,10000,1,128,0.000121,3.13839
Partial_Reduction,10000,1,128,0.000107,3.13839
Reduction,10000,1,128,0.000115,3.13839
Sequentiel,10000,1,128,1.1e-05,3.14159
Basic_Atomic,10000,1,1,0.005197,3.14159
Partial_Sum,10000,1,128,0.000161,3.13839
Partial_Reduction,10000,1,128,0.000119,3.13839
Reduction,10000,1,128,0.000168,3.13839
Sequentiel,10000,1,128,1e-05,3.14159
Basic_Atomic,10000,1,1,0.005234,3.14159
Partial_Sum,10000,1,128,9.7e-05,3.13839
Partial_Reduction,10000,1,128,9.5e-05,3.13839
Reduction,10000,1,128,0.000267,3.13839
Sequentiel,10000,1,128,1e-05,3.14159
Basic_Atomic,10000,1,1,0.005203,3.14159
Partial_Sum,10000,1,128,0.000102,3.13839
Partial_Reduction,10000,1,128,0.000116,3.13839
Reduction,10000,1,128,0.000328,3.13839
Sequentiel,10000,1,128,1e-05,3.14159
Basic_Atomic,10000,1,1,0.005338,3.14159
Partial_Sum,10000,1,128,0.000111,3.13839
Partial_Reduction,10000,1,128,0.000125,3.13839
Reduction,10000,1,128,0.000175,3.13839
Sequentiel,10000,1,128,1e-05,3.14159
Basic_Atomic,10000,1,1,0.005199,3.14159
Partial_Sum,10000,1,128,0.000151,3.13839
Partial_Reduction,10000,1,128,0.000125,3.13839
Reduction,10000,1,128,0.000274,3.13839
Sequentiel,10000,2,128,1e-05,3.14159
Basic_Atomic,10000,2,1,0.002775,3.14159
Partial_Sum,10000,2,128,0.000107,3.13839
Partial_Reduction,10000,2,128,9e-05,3.13839
Reduction,10000,2,128,9e-05,3.13839
Sequentiel,10000,2,128,1e-05,3.14159
Basic_Atomic,10000,2,1,0.002643,3.14159
Partial_Sum,10000,2,128,8.4e-05,3.13839
Partial_Reduction,10000,2,128,6.4e-05,3.13839
Reduction,10000,2,128,0.000233,3.13839
Sequentiel,10000,2,128,1e-05,3.14159
Basic_Atomic,10000,2,1,0.002635,3.14159
Partial_Sum,10000,2,128,0.000119,3.13839
Partial_Reduction,10000,2,128,6.2e-05,3.13839
Reduction,10000,2,128,0.00027,3.13839
Sequentiel,10000,2,128,1.1e-05,3.14159
Basic_Atomic,10000,2,1,0.002662,3.14159
Partial_Sum,10000,2,128,0.000123,3.13839
Partial_Reduction,10000,2,128,6.2e-05,3.13839
Reduction,10000,2,128,0.000209,3.13839
Sequentiel,10000,2,128,1.1e-05,3.14159
Basic_Atomic,10000,2,1,0.002674,3.14159
Partial_Sum,10000,2,128,6.5e-05,3.13839
Partial_Reduction,10000,2,128,9.8e-05,3.13839
Reduction,10000,2,128,0.000317,3.13839
Sequentiel,10000,2,128,1.1e-05,3.14159
Basic_Atomic,10000,2,1,0.002664,3.14159
Partial_Sum,10000,2,128,6.4e-05,3.13839
Partial_Reduction,10000,2,128,0.000114,3.13839
Reduction,10000,2,128,0.000112,3.13839
Sequentiel,10000,2,128,1.1e-05,3.14159
Basic_Atomic,10000,2,1,0.00265,3.14159
Partial_Sum,10000,2,128,6.5e-05,3.13839
Partial_Reduction,10000,2,128,8.8e-05,3.13839
Reduction,10000,2,128,0.000182,3.13839
Sequentiel,10000,2,128,1.1e-05,3.14159
Basic_Atomic,10000,2,1,0.002621,3.14159
Partial_Sum,10000,2,128,8.6e-05,3.13839
Partial_Reduction,10000,2,128,9.6e-05,3.13839
Reduction,10000,2,128,0.000165,3.13839
Sequentiel,10000,2,128,1e-05,3.14159
Basic_Atomic,10000,2,1,0.002617,3.14159
Partial_Sum,10000,2,128,0.000261,3.13839
Partial_Reduction,10000,2,128,7.4e-05,3.13839
Reduction,10000,2,128,0.000139,3.13839
Sequentiel,10000,2,128,1.1e-05,3.14159
Basic_Atomic,10000,2,1,0.002626,3.14159
Partial_Sum,10000,2,128,9.2e-05,3.13839
Partial_Reduction,10000,2,128,9.5e-05,3.13839
Reduction,10000,2,128,0.000212,3.13839
Sequentiel,10000,4,128,1e-05,3.14159
Basic_Atomic,10000,4,1,0.001371,3.14159
Partial_Sum,10000,4,128,0.000236,3.08645
Partial_Reduction,10000,4,128,4.6e-05,3.08645
Reduction,10000,4,128,0.000158,3.08645
Sequentiel,10000,4,128,1e-05,3.14159
Basic_Atomic,10000,4,1,0.001425,3.14159
Partial_Sum,10000,4,128,8.6e-05,3.08645
Partial_Reduction,10000,4,128,7.9e-05,3.08645
Reduction,10000,4,128,0.000294,3.08645
Sequentiel,10000,4,128,1.1e-05,3.14159
Basic_Atomic,10000,4,1,0.001408,3.14159
Partial_Sum,10000,4,128,0.000108,3.08645
Partial_Reduction,10000,4,128,5.5e-05,3.08645
Reduction,10000,4,128,0.000144,3.08645
Sequentiel,10000,4,128,1.1e-05,3.14159
Basic_Atomic,10000,4,1,0.001367,3.14159
Partial_Sum,10000,4,128,8.5e-05,3.08645
Partial_Reduction,10000,4,128,8.6e-05,3.08645
Reduction,10000,4,128,0.000197,3.08645
Sequentiel,10000,4,128,1.1e-05,3.14159
Basic_Atomic,10000,4,1,0.001328,3.14159
Partial_Sum,10000,4,128,5.8e-05,3.08645
Partial_Reduction,10000,4,128,5.4e-05,3.08645
Reduction,10000,4,128,0.000215,3.08645
Sequentiel,10000,4,128,1e-05,3.14159
Basic_Atomic,10000,4,1,0.001327,3.14159
Partial_Sum,10000,4,128,8.7e-05,3.08645
Partial_Reduction,10000,4,128,5.1e-05,3.08645
Reduction,10000,4,128,0.000165,3.08645
Sequentiel,10000,4,128,1.1e-05,3.14159
Basic_Atomic,10000,4,1,0.001391,3.14159
Partial_Sum,10000,4,128,5.3e-05,3.08645
Partial_Reduction,10000,4,128,7e-05,3.08645
Reduction,10000,4,128,0.000209,3.08645
Sequentiel,10000,4,128,1.3e-05,3.14159
Basic_Atomic,10000,4,1,0.001347,3.14159
Partial_Sum,10000,4,128,9.6e-05,3.08645
Partial_Reduction,10000,4,128,7.8e-05,3.08645
Reduction,10000,4,128,0.0002,3.08645
Sequentiel,10000,4,128,1.1e-05,3.14159
Basic_Atomic,10000,4,1,0.001375,3.14159
Partial_Sum,10000,4,128,6.9e-05,3.08645
Partial_Reduction,10000,4,128,5e-05,3.08645
Reduction,10000,4,128,0.000283,3.08645
Sequentiel,10000,4,128,1e-05,3.14159
Basic_Atomic,10000,4,1,0.001326,3.14159
Partial_Sum,10000,4,128,8.9e-05,3.08645
Partial_Reduction,10000,4,128,5.2e-05,3.08645
Reduction,10000,4,128,0.000146,3.08645
Sequentiel,10000,8,128,1.2e-05,3.14159
Basic_Atomic,10000,8,1,0.000742,3.14159
Partial_Sum,10000,8,128,4e-05,2.97849
Partial_Reduction,10000,8,128,7.5e-05,2.97849
Reduction,10000,8,128,0.000187,2.97849
Sequentiel,10000,8,128,1e-05,3.14159
Basic_Atomic,10000,8,1,0.000728,3.14159
Partial_Sum,10000,8,128,5.6e-05,2.97849
Partial_Reduction,10000,8,128,8.8e-05,2.97849
Reduction,10000,8,128,0.000175,2.97849
Sequentiel,10000,8,128,1.1e-05,3.14159
Basic_Atomic,10000,8,1,0.00068,3.14159
Partial_Sum,10000,8,128,4.8e-05,2.97849
Partial_Reduction,10000,8,128,4.6e-05,2.97849
Reduction,10000,8,128,0.000126,2.97849
Sequentiel,10000,8,128,1.2e-05,3.14159
Basic_Atomic,10000,8,1,0.000707,3.14159
Partial_Sum,10000,8,128,5.5e-05,2.97849
Partial_Reduction,10000,8,128,4.3e-05,2.97849
Reduction,10000,8,128,0.000156,2.97849
Sequentiel,10000,8,128,1.2e-05,3.14159
Basic_Atomic,10000,8,1,0.000744,3.14159
Partial_Sum,10000,8,128,7.4e-05,2.97849
Partial_Reduction,10000,8,128,8.9e-05,2.97849
Reduction,10000,8,128,0.000123,2.97849
Sequentiel,10000,8,128,1.1e-05,3.14159
Basic_Atomic,10000,8,1,0.000686,3.14159
Partial_Sum,10000,8,128,0.000118,2.97849
Partial_Reduction,10000,8,128,8.5e-05,2.97849
Reduction,10000,8,128,0.00022,2.97849
Sequentiel,10000,8,128,1.1e-05,3.14159
Basic_Atomic,10000,8,1,0.000684,3.14159
Partial_Sum,10000,8,128,8.4e-05,2.97849
Partial_Reduction,10000,8,128,0.000148,2.97849
Reduction,10000,8,128,0.0002,2.97849
Sequentiel,10000,8,128,1e-05,3.14159
Basic_Atomic,10000,8,1,0.000687,3.14159
Partial_Sum,10000,8,128,7.3e-05,2.97849
Partial_Reduction,10000,8,128,5.1e-05,2.97849
Reduction,10000,8,128,0.000152,2.97849
Sequentiel,10000,8,128,1.1e-05,3.14159
Basic_Atomic,10000,8,1,0.000682,3.14159
Partial_Sum,10000,8,128,4.2e-05,2.97849
Partial_Reduction,10000,8,128,8.2e-05,2.97849
Reduction,10000,8,128,0.000155,2.97849
Sequentiel,10000,8,128,1.1e-05,3.14159
Basic_Atomic,10000,8,1,0.000748,3.14159
Partial_Sum,10000,8,128,4.4e-05,2.97849
Partial_Reduction,10000,8,128,4.7e-05,2.97849
Reduction,10000,8,128,0.000139,2.97849
Sequentiel,1000000,1,128,0.001143,3.14159
Basic_Atomic,1000000,1,1,0.429814,3.14135
Partial_Sum,1000000,1,128,0.005163,3.14146
Partial_Reduction,1000000,1,128,0.004646,3.14146
Reduction,1000000,1,128,0.004209,3.14146
Sequentiel,1000000,1,128,0.001133,3.14159
Basic_Atomic,1000000,1,1,0.444061,3.14135
Partial_Sum,1000000,1,128,0.005167,3.14146
Partial_Reduction,1000000,1,128,0.004658,3.14146
Reduction,1000000,1,128,0.005337,3.14146
Sequentiel,1000000,1,128,0.001022,3.14159
Basic_Atomic,1000000,1,1,0.447902,3.14135
Partial_Sum,1000000,1,128,0.005203,3.14146
Partial_Reduction,1000000,1,128,0.004719,3.14146
Reduction,1000000,1,128,0.005279,3.14146
Sequentiel,1000000,1,128,0.001204,3.14159
Basic_Atomic,1000000,1,1,0.452428,3.14135
Partial_Sum,1000000,1,128,0.005204,3.14146
Partial_Reduction,1000000,1,128,0.004671,3.14146
Reduction,1000000,1,128,0.005406,3.14146
Sequentiel,1000000,1,128,0.001166,3.14159
Basic_Atomic,1000000,1,1,0.449123,3.14135
Partial_Sum,1000000,1,128,0.005169,3.14146
Partial_Reduction,1000000,1,128,0.004663,3.14146
Reduction,1000000,1,128,0.004219,3.14146
Sequentiel,1000000,1,128,0.001014,3.14159
Basic_Atomic,1000000,1,1,0.436518,3.14135
Partial_Sum,1000000,1,128,0.005208,3.14146
Partial_Reduction,1000000,1,128,0.004683,3.14146
Reduction,1000000,1,128,0.004231,3.14146
Sequentiel,1000000,1,128,0.001047,3.14159
Basic_Atomic,1000000,1,1,0.442998,3.14135
Partial_Sum,1000000,1,128,0.005229,3.14146
Partial_Reduction,1000000,1,128,0.004679,3.14146
Reduction,1000000,1,128,0.004315,3.14146
Sequentiel,1000000,1,128,0.001012,3.14159
Basic_Atomic,1000000,1,1,0.450325,3.14135
Partial_Sum,1000000,1,128,0.005258,3.14146
Partial_Reduction,1000000,1,128,0.004672,3.14146
Reduction,1000000,1,128,0.004243,3.14146
Sequentiel,1000000,1,128,0.001086,3.14159
Basic_Atomic,1000000,1,1,0.437762,3.14135
Partial_Sum,1000000,1,128,0.005201,3.14146
Partial_Reduction,1000000,1,128,0.00468,3.14146
Reduction,1000000,1,128,0.004198,3.14146
Sequentiel,1000000,1,128,0.00102,3.14159
Basic_Atomic,1000000,1,1,0.435331,3.14135
Partial_Sum,1000000,1,128,0.005211,3.14146
Partial_Reduction,1000000,1,128,0.004712,3.14146
Reduction,1000000,1,128,0.00424,3.14146
Sequentiel,1000000,2,128,0.001421,3.14159
Basic_Atomic,1000000,2,1,0.2586,3.13667
Partial_Sum,1000000,2,128,0.002665,3.14146
Partial_Reduction,1000000,2,128,0.002366,3.14146
Reduction,1000000,2,128,0.002678,3.14146
Sequentiel,1000000,2,128,0.001065,3.14159
Basic_Atomic,1000000,2,1,0.23875,3.13668
Partial_Sum,1000000,2,128,0.002625,3.14146
Partial_Reduction,1000000,2,128,0.002358,3.14146
Reduction,1000000,2,128,0.002257,3.14146
Sequentiel,1000000,2,128,0.001171,3.14159
Basic_Atomic,1000000,2,1,0.258664,3.13668
Partial_Sum,1000000,2,128,0.002627,3.14146
Partial_Reduction,1000000,2,128,0.002358,3.14146
Reduction,1000000,2,128,0.0028,3.14146
Sequentiel,1000000,2,128,0.001397,3.14159
Basic_Atomic,1000000,2,1,0.229719,3.13668
Partial_Sum,1000000,2,128,0.003359,3.14146
Partial_Reduction,1000000,2,128,0.003037,3.14146
Reduction,1000000,2,128,0.002892,3.14146
Sequentiel,1000000,2,128,0.001961,3.14159
Basic_Atomic,1000000,2,1,0.237524,3.13668
Partial_Sum,1000000,2,128,0.002868,3.14146
Partial_Reduction,1000000,2,128,0.002992,3.14146
Reduction,1000000,2,128,0.002713,3.14146
Sequentiel,1000000,2,128,0.00144,3.14159
Basic_Atomic,1000000,2,1,0.226455,3.13667
Partial_Sum,1000000,2,128,0.002628,3.14146
Partial_Reduction,1000000,2,128,0.002383,3.14146
Reduction,1000000,2,128,0.002761,3.14146
Sequentiel,1000000,2,128,0.001234,3.14159
Basic_Atomic,1000000,2,1,0.248156,3.13668
Partial_Sum,1000000,2,128,0.00262,3.14146
Partial_Reduction,1000000,2,128,0.002358,3.14146
Reduction,1000000,2,128,0.002791,3.14146
Sequentiel,1000000,2,128,0.001374,3.14159
Basic_Atomic,1000000,2,1,0.254532,3.13667
Partial_Sum,1000000,2,128,0.002746,3.14146
Partial_Reduction,1000000,2,128,0.002467,3.14146
Reduction,1000000,2,128,0.00276,3.14146
Sequentiel,1000000,2,128,0.001782,3.14159
Basic_Atomic,1000000,2,1,0.24284,3.13668
Partial_Sum,1000000,2,128,0.002638,3.14146
Partial_Reduction,1000000,2,128,0.002419,3.14146
Reduction,1000000,2,128,0.002719,3.14146
Sequentiel,1000000,2,128,0.001322,3.14159
Basic_Atomic,1000000,2,1,0.230764,3.13668
Partial_Sum,1000000,2,128,0.002692,3.14146
Partial_Reduction,1000000,2,128,0.002389,3.14146
