version,N,M,runtime,problemSize,bandwith
Sequentiel,4,2,7e-06,0.000112,0.016
Basic,4,2,0.00016,0.000112,0.0007
Atomic,4,2,0.000203,5.6e-05,0.000275862
Partial_reduction,4,2,0.00011,5.6e-05,0.000509091
Reduction,4,2,0.000174,5.6e-05,0.000321839
Sequentiel,4,2,4e-06,0.000112,0.028
Basic,4,2,0.000151,0.000112,0.000741722
Atomic,4,2,9.2e-05,5.6e-05,0.000608696
Partial_reduction,4,2,8.6e-05,5.6e-05,0.000651163
Reduction,4,2,0.000126,5.6e-05,0.000444444
Sequentiel,4,2,2e-06,0.000112,0.056
Basic,4,2,0.000141,0.000112,0.000794326
Atomic,4,2,9.5e-05,5.6e-05,0.000589474
Partial_reduction,4,2,0.000117,5.6e-05,0.000478632
Reduction,4,2,0.000126,5.6e-05,0.000444444
Sequentiel,4,2,2e-06,0.000112,0.056
Basic,4,2,0.000135,0.000112,0.00082963
Atomic,4,2,8.7e-05,5.6e-05,0.000643678
Partial_reduction,4,2,0.000103,5.6e-05,0.000543689
Reduction,4,2,0.000122,5.6e-05,0.000459016
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,8.8e-05,0.000112,0.00127273
Atomic,4,2,0.00019,5.6e-05,0.000294737
Partial_reduction,4,2,8.6e-05,5.6e-05,0.000651163
Reduction,4,2,0.000126,5.6e-05,0.000444444
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,0.000111,0.000112,0.00100901
Atomic,4,2,8.8e-05,5.6e-05,0.000636364
Partial_reduction,4,2,0.00011,5.6e-05,0.000509091
Reduction,4,2,0.000124,5.6e-05,0.000451613
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,8.4e-05,0.000112,0.00133333
Atomic,4,2,0.000114,5.6e-05,0.000491228
Partial_reduction,4,2,8.7e-05,5.6e-05,0.000643678
Reduction,4,2,0.00012,5.6e-05,0.000466667
Sequentiel,4,2,4e-06,0.000112,0.028
Basic,4,2,8.8e-05,0.000112,0.00127273
Atomic,4,2,0.000198,5.6e-05,0.000282828
Partial_reduction,4,2,9.2e-05,5.6e-05,0.000608696
Reduction,4,2,0.000126,5.6e-05,0.000444444
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,0.000281,0.000112,0.000398577
Atomic,4,2,8.7e-05,5.6e-05,0.000643678
Partial_reduction,4,2,8.6e-05,5.6e-05,0.000651163
Reduction,4,2,0.000127,5.6e-05,0.000440945
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,8.7e-05,0.000112,0.00128736
Atomic,4,2,9.6e-05,5.6e-05,0.000583333
Partial_reduction,4,2,9.4e-05,5.6e-05,0.000595745
Reduction,4,2,0.000263,5.6e-05,0.000212928
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,9.6e-05,0.000112,0.00116667
Atomic,4,2,8.5e-05,5.6e-05,0.000658824
Partial_reduction,4,2,9e-05,5.6e-05,0.000622222
Reduction,4,2,0.000126,5.6e-05,0.000444444
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,9.2e-05,0.000112,0.00121739
Atomic,4,2,9.4e-05,5.6e-05,0.000595745
Partial_reduction,4,2,0.000191,5.6e-05,0.000293194
Reduction,4,2,0.000125,5.6e-05,0.000448
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,9e-05,0.000112,0.00124444
Atomic,4,2,0.000205,5.6e-05,0.000273171
Partial_reduction,4,2,9e-05,5.6e-05,0.000622222
Reduction,4,2,0.000129,5.6e-05,0.000434109
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,0.000102,0.000112,0.00109804
Atomic,4,2,0.00015,5.6e-05,0.000373333
Partial_reduction,4,2,8.9e-05,5.6e-05,0.000629213
Reduction,4,2,0.000164,5.6e-05,0.000341463
Sequentiel,4,2,5e-06,0.000112,0.0224
Basic,4,2,8.7e-05,0.000112,0.00128736
Atomic,4,2,8.5e-05,5.6e-05,0.000658824
Partial_reduction,4,2,0.000198,5.6e-05,0.000282828
Reduction,4,2,0.000255,5.6e-05,0.000219608
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,0.000238,0.000112,0.000470588
Atomic,4,2,8.5e-05,5.6e-05,0.000658824
Partial_reduction,4,2,0.000106,5.6e-05,0.000528302
Reduction,4,2,0.000124,5.6e-05,0.000451613
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,0.000132,0.000112,0.000848485
Atomic,4,2,8.5e-05,5.6e-05,0.000658824
Partial_reduction,4,2,8.5e-05,5.6e-05,0.000658824
Reduction,4,2,0.000131,5.6e-05,0.000427481
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,8.7e-05,0.000112,0.00128736
Atomic,4,2,0.000105,5.6e-05,0.000533333
Partial_reduction,4,2,8.6e-05,5.6e-05,0.000651163
Reduction,4,2,0.000122,5.6e-05,0.000459016
Sequentiel,4,2,4e-06,0.000112,0.028
Basic,4,2,0.000107,0.000112,0.00104673
Atomic,4,2,8.7e-05,5.6e-05,0.000643678
Partial_reduction,4,2,0.000193,5.6e-05,0.000290155
Reduction,4,2,0.00015,5.6e-05,0.000373333
Sequentiel,4,2,4e-06,0.000112,0.028
Basic,4,2,9e-05,0.000112,0.00124444
Atomic,4,2,0.000193,5.6e-05,0.000290155
Partial_reduction,4,2,0.000276,5.6e-05,0.000202899
Reduction,4,2,0.00026,5.6e-05,0.000215385
Sequentiel,4,2,4e-06,0.000112,0.028
Basic,4,2,0.000205,0.000112,0.000546341
Atomic,4,2,0.000103,5.6e-05,0.000543689
Partial_reduction,4,2,0.000153,5.6e-05,0.000366013
Reduction,4,2,0.00013,5.6e-05,0.000430769
Sequentiel,4,2,4e-06,0.000112,0.028
Basic,4,2,0.000109,0.000112,0.00102752
Atomic,4,2,9.2e-05,5.6e-05,0.000608696
Partial_reduction,4,2,8.8e-05,5.6e-05,0.000636364
Reduction,4,2,0.000275,5.6e-05,0.000203636
Sequentiel,4,2,2e-06,0.000112,0.056
Basic,4,2,9.4e-05,0.000112,0.00119149
Atomic,4,2,0.000108,5.6e-05,0.000518519
Partial_reduction,4,2,8.6e-05,5.6e-05,0.000651163
Reduction,4,2,0.000134,5.6e-05,0.00041791
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,0.000192,0.000112,0.000583333
Atomic,4,2,9.3e-05,5.6e-05,0.000602151
Partial_reduction,4,2,8.7e-05,5.6e-05,0.000643678
Reduction,4,2,0.000137,5.6e-05,0.000408759
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,0.000122,0.000112,0.000918033
Atomic,4,2,0.000125,5.6e-05,0.000448
Partial_reduction,4,2,9.6e-05,5.6e-05,0.000583333
Reduction,4,2,0.000208,5.6e-05,0.000269231
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,0.000216,0.000112,0.000518519
Atomic,4,2,9.2e-05,5.6e-05,0.000608696
Partial_reduction,4,2,9e-05,5.6e-05,0.000622222
Reduction,4,2,0.000124,5.6e-05,0.000451613
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,8.7e-05,0.000112,0.00128736
Atomic,4,2,9.1e-05,5.6e-05,0.000615385
Partial_reduction,4,2,9.7e-05,5.6e-05,0.00057732
Reduction,4,2,0.00014,5.6e-05,0.0004
Sequentiel,4,2,2e-06,0.000112,0.056
Basic,4,2,8.8e-05,0.000112,0.00127273
Atomic,4,2,0.000116,5.6e-05,0.000482759
Partial_reduction,4,2,9e-05,5.6e-05,0.000622222
Reduction,4,2,0.000184,5.6e-05,0.000304348
Sequentiel,4,2,3e-06,0.000112,0.0373333
Basic,4,2,9.7e-05,0.000112,0.00115464
Atomic,4,2,8.5e-05,5.6e-05,0.000658824
Partial_reduction,4,2,9e-05,5.6e-05,0.000622222
